age_band,party_affiliation,voters,new_registrations,departures,zip_changes,county_changes,party_changes,status_changes
18-24,AMF,4718,822,3,189,85,397,120
18-24,ASP,2078,133,3,35,10,42,34
18-24,BPP,3696,235,2,71,32,83,82
18-24,CPF,4982,119,5,52,19,15,50
18-24,CPP,1426,95,1,35,20,61,26
18-24,CSV,7531,272,6,132,46,63,104
18-24,DEM,332923,10003,345,5480,2323,2403,4133
18-24,ECO,990,39,0,22,9,25,16
18-24,FFP,433,37,1,8,2,18,12
18-24,GRE,2217,72,1,58,21,47,41
18-24,IND,41037,1127,34,826,342,696,464
18-24,JEF,23,1,0,1,0,2,1
18-24,LPF,2609,79,3,49,22,35,43
18-24,MGT,4,0,0,0,0,0,0
18-24,NPA,397216,11491,402,5355,2133,2068,4185
18-24,PSL,739,28,2,25,11,30,12
18-24,REP,365233,10616,313,6329,2537,1438,3579
18-24,WPF,1,0,0,0,0,1,0
25-34,AMF,4522,420,5,424,177,659,264
25-34,ASP,1997,37,3,91,35,66,45
25-34,BPP,5012,164,8,249,113,235,187
25-34,CPF,4294,21,10,89,37,36,86
25-34,CPP,1786,68,3,79,29,92,52
25-34,CSV,8781,50,16,267,107,128,186
25-34,DEM,777458,3940,1435,15421,5943,3518,12295
25-34,ECO,1188,23,1,26,16,31,34
25-34,FFP,472,18,3,18,8,32,17
25-34,GRE,3274,28,4,95,40,55,67
25-34,IND,69547,563,109,2233,908,1422,1247
25-34,JEF,35,1,0,1,0,3,1
25-34,LPF,11369,78,24,289,97,134,178
25-34,MGT,14,0,0,1,0,1,0
25-34,NPA,817759,4102,1397,14929,5759,4358,12094
25-34,PSL,1231,4,0,37,16,31,30
25-34,REP,730508,5198,1031,18192,7096,3538,9758
25-34,WPF,2,0,0,2,2,2,1
35-44,AMF,3641,290,20,309,112,545,205
35-44,ASP,1495,27,3,48,19,58,31
35-44,BPP,3979,102,8,201,83,183,143
35-44,CPF,3840,14,6,65,17,27,72
35-44,CPP,1800,68,4,74,23,108,71
35-44,CSV,7745,38,14,173,75,109,146
35-44,DEM,766393,2772,1521,11650,3579,2701,9698
35-44,ECO,759,10,6,21,9,17,19
35-44,FFP,387,11,0,12,5,31,15
35-44,GRE,2698,23,2,63,18,47,66
35-44,IND,55516,392,84,1381,504,1271,853
35-44,JEF,15,0,0,3,3,4,1
35-44,LPF,12793,73,24,239,101,151,166
35-44,MGT,11,1,0,2,1,2,1
35-44,NPA,821340,3286,1336,12399,4205,4011,9798
35-44,PSL,510,2,1,14,5,15,7
35-44,REP,810358,4478,1337,14927,5062,3856,7897
35-44,WPF,2,0,0,0,0,2,0
45-54,AMF,2973,205,6,231,85,465,131
45-54,ASP,1120,29,2,32,12,43,17
45-54,BPP,3060,75,6,150,64,169,86
45-54,CPF,2997,13,11,62,21,29,52
45-54,CPP,1639,56,3,78,34,134,64
45-54,CSV,6431,37,17,131,43,97,87
45-54,DEM,667650,2054,1411,8627,2405,2019,6304
45-54,ECO,682,11,1,15,4,22,15
45-54,FFP,292,13,0,16,3,18,8
45-54,GRE,1605,8,2,27,9,20,23
45-54,IND,48518,325,82,1074,381,1202,544
45-54,JEF,11,1,0,2,0,4,0
45-54,LPF,7662,40,18,142,57,119,78
45-54,MGT,11,0,0,0,0,0,0
45-54,NPA,690985,2543,1248,8376,2693,3201,6186
45-54,PSL,160,0,0,2,1,5,5
45-54,REP,823922,4162,1428,12512,4047,3823,6434
45-54,WPF,3,0,0,4,3,3,1
55-64,AMF,2452,180,7,187,70,415,107
55-64,ASP,987,20,2,36,11,42,29
55-64,BPP,1768,38,5,74,32,89,44
55-64,CPF,2672,12,10,48,16,29,33
55-64,CPP,1405,65,7,61,25,113,44
55-64,CSV,6403,44,19,116,49,85,84
55-64,DEM,761297,2478,2285,9022,2727,2210,5744
55-64,ECO,560,5,2,15,6,18,9
55-64,FFP,181,7,2,8,4,15,3
55-64,GRE,1085,7,3,26,10,20,15
55-64,IND,54622,430,158,1166,430,1504,535
55-64,JEF,11,0,0,0,0,1,0
55-64,LPF,4708,37,23,57,18,54,42
55-64,MGT,7,1,0,1,1,2,0
55-64,NPA,645207,2610,1636,6676,2241,2997,4588
55-64,PSL,90,0,1,0,0,2,2
55-64,REP,1163645,6562,2928,14893,5347,4160,7211
55-64,WPF,2,0,0,1,1,2,0
65-74,AMF,1467,102,8,77,29,209,41
65-74,ASP,549,12,1,19,6,31,8
65-74,BPP,683,7,2,26,8,39,13
65-74,CPF,1553,5,5,15,6,9,9
65-74,CPP,846,22,3,35,13,70,11
65-74,CSV,4961,24,25,104,43,99,58
65-74,DEM,851114,2353,4183,8437,2324,2435,4730
65-74,ECO,496,13,4,12,5,14,5
65-74,FFP,156,7,0,7,4,8,3
65-74,GRE,775,5,4,11,4,10,9
65-74,IND,53258,372,239,891,343,1566,400
65-74,JEF,8,0,0,0,0,1,0
65-74,LPF,2733,19,13,35,11,32,22
65-74,MGT,9,0,0,0,0,0,0
65-74,NPA,534470,2001,2292,4372,1446,2384,3072
65-74,PSL,38,1,0,1,1,0,0
65-74,REP,1170170,5264,4765,11968,4098,3705,5379
65-74,WPF,2,0,0,0,0,2,0
75+,AMF,539,27,1,30,12,94,15
75+,ASP,221,3,1,6,4,12,0
75+,BPP,376,7,3,14,6,23,5
75+,CPF,681,2,11,3,1,6,8
75+,CPP,397,12,2,17,7,36,5
75+,CSV,2377,15,22,25,8,53,14
75+,DEM,840002,1368,9987,7596,1904,2011,4430
75+,ECO,201,2,2,4,0,8,1
75+,FFP,81,6,0,5,2,12,1
75+,GRE,364,0,1,1,1,1,2
75+,IND,36412,197,359,596,207,1209,235
75+,JEF,9,0,0,0,0,0,1
75+,LPF,1308,6,13,11,4,19,3
75+,MGT,6,1,0,0,0,0,0
75+,NPA,447696,988,4684,3242,926,1917,2416
75+,PSL,29,0,0,0,0,0,0
75+,REP,1128896,2626,12863,10715,3304,2606,5623
unknown,AMF,61,6,0,0,2,10,3
unknown,ASP,24,2,0,0,0,0,0
unknown,BPP,35,1,0,0,1,6,2
unknown,CPF,66,0,0,0,0,1,0
unknown,CPP,17,0,0,0,2,5,0
unknown,CSV,112,1,1,0,1,4,0
unknown,DEM,21308,56,35,0,66,74,107
unknown,ECO,11,0,0,0,0,0,1
unknown,FFP,7,0,0,0,0,0,0
unknown,GRE,47,0,0,0,0,2,1
unknown,IND,1473,4,0,0,8,46,6
unknown,LPF,215,0,1,0,0,6,1
unknown,NPA,16450,52,33,0,55,101,88
unknown,PSL,14,1,0,0,1,0,0
unknown,REP,45747,29,83,0,165,115,125
